MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230221,6025,Imperial County,CA,0,100,52.35,0,0,0,2/21/23,2/27/23,1
20230214,6025,Imperial County,CA,0,100,52.35,0,0,0,2/14/23,2/20/23,1
20230207,6025,Imperial County,CA,0,100,52.35,0,0,0,2/7/23,2/13/23,1
20230131,6025,Imperial County,CA,0,100,52.35,0,0,0,1/31/23,2/6/23,1
20230124,6025,Imperial County,CA,0,100,52.35,0,0,0,1/24/23,1/30/23,1
20230117,6025,Imperial County,CA,0,100,52.35,0,0,0,1/17/23,1/23/23,1
20230110,6025,Imperial County,CA,0,100,52.35,0,0,0,1/10/23,1/16/23,1
20230103,6025,Imperial County,CA,0,100,52.35,0,0,0,1/3/23,1/9/23,1
20221227,6025,Imperial County,CA,0,100,52.35,0,0,0,12/27/22,1/2/23,1
20221220,6025,Imperial County,CA,0,100,52.35,0,0,0,12/20/22,12/26/22,1
20221213,6025,Imperial County,CA,0,100,52.35,0,0,0,12/13/22,12/19/22,1
20221206,6025,Imperial County,CA,0,100,100,0,0,0,12/6/22,12/12/22,1
20221129,6025,Imperial County,CA,0,100,100,0,0,0,11/29/22,12/5/22,1
20221122,6025,Imperial County,CA,0,100,100,0,0,0,11/22/22,11/28/22,1
20221115,6025,Imperial County,CA,0,100,100,0,0,0,11/15/22,11/21/22,1
20221108,6025,Imperial County,CA,0,100,100,0,0,0,11/8/22,11/14/22,1
20221101,6025,Imperial County,CA,0,100,100,0,0,0,11/1/22,11/7/22,1
20221025,6025,Imperial County,CA,0,100,100,0,0,0,10/25/22,10/31/22,1
20221018,6025,Imperial County,CA,0,100,100,0,0,0,10/18/22,10/24/22,1
20221011,6025,Imperial County,CA,0,100,100,16.77,0,0,10/11/22,10/17/22,1
20221004,6025,Imperial County,CA,0,100,100,17.18,0,0,10/4/22,10/10/22,1
20220927,6025,Imperial County,CA,0,100,100,16.9,0,0,9/27/22,10/3/22,1
20220920,6025,Imperial County,CA,0,100,100,17.22,0,0,9/20/22,9/26/22,1
20220913,6025,Imperial County,CA,0,100,100,17.22,0,0,9/13/22,9/19/22,1
20220906,6025,Imperial County,CA,0,100,100,100,0,0,9/6/22,9/12/22,1
20220830,6025,Imperial County,CA,0,100,100,100,0,0,8/30/22,9/5/22,1
20220823,6025,Imperial County,CA,0,100,100,100,42.46,0,8/23/22,8/29/22,1
20220816,6025,Imperial County,CA,0,100,100,100,42.46,0,8/16/22,8/22/22,1
20220809,6025,Imperial County,CA,0,100,100,100,56.09,0,8/9/22,8/15/22,1
20220802,6025,Imperial County,CA,0,100,100,100,55.97,0,8/2/22,8/8/22,1
20220726,6025,Imperial County,CA,0,100,100,100,55.97,0,7/26/22,8/1/22,1
20220719,6025,Imperial County,CA,0,100,100,100,55.97,0,7/19/22,7/25/22,1
20220712,6025,Imperial County,CA,0,100,100,100,55.97,0,7/12/22,7/18/22,1
20220705,6025,Imperial County,CA,0,100,100,100,55.97,0,7/5/22,7/11/22,1
20220628,6025,Imperial County,CA,0,100,100,100,55.97,0,6/28/22,7/4/22,1
20220621,6025,Imperial County,CA,0,100,100,100,55.97,0,6/21/22,6/27/22,1
20220614,6025,Imperial County,CA,0,100,100,100,55.97,0,6/14/22,6/20/22,1
20220607,6025,Imperial County,CA,0,100,100,100,55.97,0,6/7/22,6/13/22,1
20220531,6025,Imperial County,CA,0,100,100,100,55.97,0,5/31/22,6/6/22,1
20220524,6025,Imperial County,CA,0,100,100,100,55.97,0,5/24/22,5/30/22,1
20220517,6025,Imperial County,CA,0,100,100,100,55.97,0,5/17/22,5/23/22,1
20220510,6025,Imperial County,CA,0,100,100,100,55.97,0,5/10/22,5/16/22,1
20220503,6025,Imperial County,CA,0,100,100,100,0,0,5/3/22,5/9/22,1
20220426,6025,Imperial County,CA,0,100,100,100,0,0,4/26/22,5/2/22,1
20220419,6025,Imperial County,CA,0,100,100,100,0,0,4/19/22,4/25/22,1
20220412,6025,Imperial County,CA,0,100,100,100,0,0,4/12/22,4/18/22,1
20220405,6025,Imperial County,CA,0,100,100,92.21,0,0,4/5/22,4/11/22,1
20220329,6025,Imperial County,CA,0,100,100,92.18,0,0,3/29/22,4/4/22,1
20220322,6025,Imperial County,CA,0,100,100,92.18,0,0,3/22/22,3/28/22,1
20220315,6025,Imperial County,CA,0,100,100,92.18,0,0,3/15/22,3/21/22,1
20220308,6025,Imperial County,CA,0,100,100,92.18,0,0,3/8/22,3/14/22,1
20220301,6025,Imperial County,CA,0,100,100,92.18,0,0,3/1/22,3/7/22,1
20220222,6025,Imperial County,CA,0,100,100,0,0,0,2/22/22,2/28/22,1
20220215,6025,Imperial County,CA,0,100,100,0,0,0,2/15/22,2/21/22,1
20220208,6025,Imperial County,CA,0,100,100,0,0,0,2/8/22,2/14/22,1
20220201,6025,Imperial County,CA,0,100,100,0,0,0,2/1/22,2/7/22,1
20220125,6025,Imperial County,CA,0,100,100,0,0,0,1/25/22,1/31/22,1
20220118,6025,Imperial County,CA,0,100,100,0,0,0,1/18/22,1/24/22,1
20220111,6025,Imperial County,CA,0,100,100,0,0,0,1/11/22,1/17/22,1
20220104,6025,Imperial County,CA,0,100,100,0,0,0,1/4/22,1/10/22,1
20211228,6025,Imperial County,CA,0,100,100,0,0,0,12/28/21,1/3/22,1
20211221,6025,Imperial County,CA,0,100,100,0.21,0,0,12/21/21,12/27/21,1
20211214,6025,Imperial County,CA,0,100,100,0.19,0,0,12/14/21,12/20/21,1
20211207,6025,Imperial County,CA,0,100,100,0.19,0,0,12/7/21,12/13/21,1
20211130,6025,Imperial County,CA,0,100,100,0.19,0,0,11/30/21,12/6/21,1
20211123,6025,Imperial County,CA,0,100,100,0.19,0,0,11/23/21,11/29/21,1
20211116,6025,Imperial County,CA,0,100,100,0.19,0,0,11/16/21,11/22/21,1
